"","id","national_sss","condition","procedure","manipulation_check","Q153_1","Q153_2","Q153_3","Q153_4","Q153_5","Q153_6","Q153_7","Q145_1","Q145_2","Q145_3","Q145_4","Q145_5","Q145_6","Q145_7","Q146_1","Q146_2","Q146_3","Q146_4","Q146_5","Q146_6","Q67_1","Q67_2","Q67_3","Q67_4","Q67_5","Q67_6","Q123_1","Q123_2","Q123_3","Q123_4","Q174","Q175","Q176","Q177","Q96","Q98","Q100","Q102","Q124_1","Q124_2","Q124_3","Q124_4","Q124_5","Q124_6","Q124_7","Q124_8","Q124_9","Q124_11","Q124_12","Q124_13","Q124_14","Q124_15","Q124_17","Q124_18","Q142","Q102_1","Q102_2","Q102_3","Q102_4","Q102_5","Q102_6","Q102_7","Q103_1","Q103_2","Q103_3","Q103_4","Q103_5","Q103_6","Q103_7","Q128","Q130","Q132","Q134","positive_emotion","negative_emotion","CH1_reverse","CH2_reverse","CH3_reverse","FH1_reverse","FH2_reverse","current_health","future_health","happiness1_reverse","happiness2_reverse","happiness_wake","happiness_general","exercise_intent","EC2_reverse","EC4_reverse","EC5_reverse","PT1_reverse","PT4_reverse","empathetic_concern","perspective_taking"
"12","21476",7,"high_sss","I honestly don't think I would act much different wherever I was on the ladder. I'm definitely not perfect but I do think humility is a strength of mine, and if I did happen to be highly respected, I still wouldn't consider myself better than anyone else there.",1,1,3,3,1,1,2,2,2,2,2,2,2,2,2,3,4,4,4,1,3,5,4,2,4,4,2,NA,NA,NA,NA,2,2,2,6,3,2,2,6,60,35,70,50,25,10,20,30,60,25,25,25,25,70,25,50,3,5,1,5,1,1,5,5,2,5,5,2,5,4,4,2001,"1","51",3,1.9,2.7,2,4,4,NA,NA,3.83333333333333,NA,2,2,2,2.25,37.8125,5,5,5,4,4,5,4.42857142857143
"13","21780",8,"high_sss","I would feel great If i were at the top of the ladder because I would feel like I had an influence and change on my expeirence as well as others.",1,4,3,3,4,3,5,2,4,5,4,4,5,4,4,2,1,1,4,4,3,4,4,2,2,4,3,4,2,2,3,6,4,6,3,6,5,6,4,72,40,56,89,86,64,83,100,35,12,51,12,100,26,67,48,1,4,2,2,3,2,4,4,3,2,4,2,2,3,4,2001,"2","51",5,4.2,2.7,2,4,3,2,3,3.16666666666667,2.25,5,4,5.25,5.25,58.8125,4,3,4,3,4,3.57142857142857,3.14285714285714
"14","21511",8,"high_sss","I have done very well for myself. My hard work has paid off. I also got really lucking I picked the right carear.",1,4,1,1,1,1,4,1,1,4,4,4,3,2,3,1,1,1,3,2,3,3,5,2,4,2,4,4,3,2,3,5,6,6,3,6,5,5,3,75,45,91,47,70,72,75,44,70,36,46,54,73,74,34,82,2,5,2,5,2,1,2,3,1,5,5,2,5,5,2,2001,"2","51",5,3.2,1.3,1,4,2,2,3,2.66666666666667,2.5,5,5,5.5,5.25,61.75,4,4,5,5,4,4,4.42857142857143
"15","21512",6,"high_sss","I arrived at my 5-year college reunion at around 2. Wow. It's been 5 years. 5 years since the best time in my life. As I expected, my past friends immediately came up to me to talk and reconnect. It had been a while since I was in contact with my fraternity brothers, so it was great to see them again. People came up to talk to me whom I didn't even remember, but they said that we had a math class together or something. There were too many people at this school for me to remember, but they all remember me.",1,2,2,1,1,1,3,1,2,3,1,2,2,3,2,1,1,1,1,1,1,5,2,2,5,2,3,3,4,3,2,5,6,4,2,5,6,4,2,19,19,40,10,50,20,5,10,10,5,40,21,40,49,20,30,3,3,3,4,3,2,3,3,2,3,4,4,3,4,4,2001,"2","51",4,2,1.2,4,4,3,3,4,3.83333333333333,3.5,6,6,5.25,5.25,24.25,3,3,4,4,2,3.28571428571429,3.42857142857143
"16","21355",10,"high_sss","Success in the form of money, pride, or don’t determine my happiness. It comes with maintaining a good mental health, so I am not sure how I’d feel at the top of the ladder. It all depends on whether or not I’ve been taking care of myself.",1,3,3,1,1,1,2,2,1,3,3,2,2,3,4,1,2,1,1,1,3,4,2,3,3,3,2,2,3,2,2,5,5,3,6,7,6,4,5,80,100,35,79,21,1,100,78,93,100,100,28,55,79,2,100,1,4,1,5,2,1,4,4,2,4,4,5,3,4,2,NA,"1","51",5,2.6,1.4,4,3,4,4,4,3.5,3.25,2,3,3.75,5,65.6875,5,4,5,4,1,4.42857142857143,3.14285714285714
"17","21587",8,"high_sss","I think that I would treat people the same I do now, but I would use my power to influence people to change their habits for the better. Mainly in regards to drug use, as well as plastic consumption and environmentalism.",1,3,2,1,2,1,2,1,2,2,3,3,3,2,4,1,1,1,4,2,4,3,4,5,1,1,4,5,1,1,4,5,4,4,1,5,5,6,1,90,86,97,70,94,66,91,73,40,81,53,52,91,85,68,68,1,4,2,2,2,2,4,4,2,5,4,2,4,3,4,2001,"2","51",4,2.8,1.6,2,1,2,1,2,1.66666666666667,1.25,7,7,5,5.75,75.3125,4,4,4,4,4,3.71428571428571,4
"18","21404",5,"high_sss","I walked in feeling proud and knowing that everyone would remember me. In that moment I felt powerful.",3,1,4,1,1,1,1,1,1,2,3,1,1,1,1,2,3,1,1,1,1,5,5,2,4,3,1,3,4,4,4,2,2,2,2,2,3,1,2,0,0,50,0,100,NA,50,NA,NA,NA,NA,50,100,NA,0,NA,4,3,3,1,2,1,2,3,4,2,3,4,4,4,4,2002,"1","31",3,1.3,1.6,1,4,5,3,2,3.66666666666667,3.25,6,6,3,3,38.8888888888889,3,4,5,2,2,3,3
"19","21412",6,"high_sss","I will be proud of myself. Simultaneously, I will examine my peers' social status and ask myself what is the key to success. Also, I will try to act normal, as if I have not changed a lot.",1,1,1,1,1,1,5,1,1,1,1,1,1,3,2,1,4,4,1,1,1,4,2,5,5,5,2,5,1,1,5,2,2,3,7,3,3,3,6,30,51,51,100,100,100,100,100,20,50,80,20,100,100,20,30,2,2,4,5,1,1,5,5,1,5,5,4,5,5,5,2001,"1","11",5,1.7,1.6,4,1,4,1,1,3.83333333333333,1,1,2,2,2.75,65.75,2,5,5,5,2,4.14285714285714,4.57142857142857
"20","21820",9,"high_sss","Very happy, I would talk to a lot of people. I would try and see how everyone else is doing. I would definitely try and talk about my job and be friendly with most people. I would stay a long time and probably go out with some old friends after",1,3,2,1,2,1,3,1,1,2,4,2,2,2,2,1,1,1,2,2,3,3,5,2,4,4,4,5,2,2,5,5,4,7,1,6,5,7,1,70,60,80,40,50,80,100,100,100,60,80,100,100,100,60,100,2,4,2,3,1,2,3,2,1,4,4,3,5,2,3,2002,"2","51",5,2.5,1.3,1,4,2,1,1,3,1.5,7,7,5.75,6.25,80,4,5,4,5,3,3.57142857142857,3.71428571428571
"21","21339",9,"high_sss","I feel like I am better than everyone else, I look down upon people at the bottom of the ladder.",1,3,3,3,4,1,5,1,1,4,3,4,4,3,5,3,1,1,5,3,3,3,3,3,3,1,5,5,5,1,2,7,6,6,5,5,7,5,4,19,21,18,52,7,8,97,52,25,48,23,62,51,26,47,50,1,3,3,3,2,4,2,2,2,4,3,2,4,3,2,2001,"2","51",2,3.8,2.2,3,3,1,1,4,2.33333333333333,2.75,3,4,5.5,5.25,37.875,3,4,2,4,4,2.71428571428571,3.42857142857143
"22","21726",9,"high_sss","If I was at the top of the ladder five years out of college I would be confident. I would carry myself with a sense of pride and respect knowing that I am doing well.  I would probably be happy and mentally all there. I wouldn't be stressed or worried about much.",1,4,2,1,4,1,4,1,1,4,4,4,3,4,4,1,1,1,4,3,4,2,5,3,3,2,4,5,2,2,4,6,6,6,2,6,6,6,2,50,70,60,27,70,61,85,49,15,40,5,5,60,70,30,65,2,2,2,3,2,2,2,1,3,2,2,4,2,2,2,1999,"2","31",4,3.9,1.6,1,3,2,1,2,2.16666666666667,1.75,6,6,6,6,47.625,4,4,4,3,2,2.85714285714286,2.14285714285714
"23","21501",4,"high_sss","I attended my 5-year college reunion. Everyone seems to be doing well, and in great points in their life carreer wise, however they are still too focused on getting money and not appreciating life. There's so much more to life then all of that. Even though I am very established, I understand these concepts.",1,2,1,1,1,1,5,1,1,2,4,3,4,3,5,1,1,1,3,2,1,NA,2,2,1,2,4,3,1,1,3,7,7,7,2,7,7,7,1,65,48,13,84,96,90,93,67,67,13,89,89,87,93,18,92,4,4,4,5,4,2,2,2,1,5,5,2,5,4,4,2002,"1","21",2,3,1.3,4,4,2,3,3,2.6,2,6,7,6.75,7,69,2,2,4,5,4,3,4.57142857142857
"24","21408",6,"high_sss","I would feel that all my hard work paid off but I would not be satisfied because there is still much more work to do",1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,2,1,5,4,4,4,4,4,4,4,4,50,78,31,53,46,66,41,31,58,18,57,50,42,74,55,36,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2001,"2","51",4,3,3,3,3,3,2,1,2.83333333333333,1.5,4,4,4,4,49.125,3,3,3,3,3,3,3
"25","21346",8,"high_sss","If I were to be at the top of the ladder at my 5-year college reunion, I would probably feel very similar to my peers. Everyone around me has access to wealth and education, I would simply just feel proud of myself.",1,3,3,3,1,2,2,2,3,2,2,2,2,3,2,1,2,2,3,1,3,4,5,3,4,3,2,4,3,3,4,5,5,4,3,5,5,4,3,8,19,3,1,20,24,25,4,4,38,22,3,3,3,6,37,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2002,"1","33,51",5,2.2,2.2,1,3,4,2,2,3.16666666666667,2.5,5,5,4.75,4.75,13.75,4,4,4,4,4,2.85714285714286,2.57142857142857
"26","21525",8,"high_sss","I was excited to see all of the people that I was friends with in college. It was awesome to see where everyone ended up. It was crazy how many people I remembered. I am very glad that everyone is doing well for themselves.",1,4,1,1,2,1,5,1,2,5,5,4,3,5,5,1,1,2,3,2,4,2,4,1,5,2,4,3,2,2,5,6,5,6,2,6,4,5,2,100,78,100,100,59,64,27,100,59,21,54,44,100,100,35,100,2,5,1,5,1,1,4,5,1,4,4,1,5,3,4,2001,"2","51",5,4.2,1.5,2,5,2,3,1,3,2,6,6,5.75,5.25,71.3125,5,5,5,5,5,4.85714285714286,4.28571428571429
"27","21498",8,"high_sss","I think I would be very confident and proud as I looked back on all I accomplished and saw friends again.",1,4,2,1,4,1,3,1,1,4,4,4,3,4,4,1,1,1,4,2,4,2,4,5,3,2,2,4,2,2,4,7,5,6,2,7,6,6,1,50,71,35,60,71,62,75,61,20,53,63,30,66,40,23,20,2,4,1,3,1,1,3,4,1,4,4,3,3,2,3,2000,"1","59",5,3.8,1.5,2,1,4,2,2,2.33333333333333,2,6,7,6,6.5,50,5,5,5,5,3,4.14285714285714,3.42857142857143
"28","21751",9,"high_sss","If it was at the top of the ladder i know that i would have had a positive impact to the people around me. I would have inspired others to be the best versions of themselves. my own achievements would make me respected by others. I would want to have been viewed as a kind, respectful, hardworking and successful person.",1,3,2,1,3,1,4,1,1,4,5,4,4,3,3,1,2,1,2,1,4,2,5,4,3,1,4,4,3,2,4,6,4,5,3,5,5,5,3,70,50,71,71,81,75,76,64,70,50,61,61,88,72,60,80,1,4,1,4,1,1,4,4,1,4,4,2,2,2,2,2002,"1","51",5,3.7,1.3,1,2,2,2,2,1.83333333333333,2.25,5,5,5,5,68.75,5,5,5,5,4,4.42857142857143,3.28571428571429
"29","21336",5,"high_sss","I would be very proud of myself because I graduated from Wake and that I have graduated from law school. I would definetly feel quite relieved because my life would be more planned out by then and a lot more predictable.",1,2,1,1,2,1,3,1,4,2,2,2,1,4,1,1,3,5,1,1,1,3,4,4,4,3,2,5,2,1,5,5,4,5,4,5,5,6,3,90,100,100,0,50,100,100,8,8,78,100,1,13,0,1,0,3,4,2,5,1,1,5,4,5,3,2,3,4,3,5,2002,"1","21,22",5,2,1.9,2,2,4,1,1,3,1.25,4,5,4.5,5.25,46.8125,4,5,5,1,3,4.57142857142857,3
"30","21770",8,"high_sss","I would feel a great deal achievement for the time I've spent working at my craft.",1,4,2,2,3,1,4,1,2,4,3,4,3,5,4,1,1,3,3,3,3,2,2,3,2,2,4,3,2,2,4,5,5,2,3,4,3,5,4,61,56,98,35,70,72,88,85,44,63,27,22,80,71,21,43,1,4,3,2,3,4,4,4,2,2,4,4,3,3,2,2001,"2","51",4,3.7,1.9,4,3,2,3,2,2.5,2.25,5,4,4.25,4,58.5,3,3,2,4,2,3.14285714285714,2.85714285714286
"31","21815",7,"high_sss","I feel confident and happy.  I love being in the limelight for a good reason.  Inside, I feel warm and accepted.  I feel like I am a really important part of WF who cannot be replaced, and as a result I pay attention to how I am acting and how I make people feel.  I know a lot of eyes are on me, so this is not the time to mess up.  I  smile and reach out to everyone I remember from college, even if we weren't good friends.  I want them to feel as accepted to me.  I laugh and joke the whole time, and try to catch up with my peers to see if they are doing anything as impressive as me.",1,4,3,1,2,1,5,1,1,3,3,3,1,2,4,1,3,2,1,1,3,1,4,4,1,1,3,4,1,1,1,6,6,5,2,5,5,5,2,30,61,100,100,100,100,43,100,100,42,57,24,100,100,37,100,1,4,1,5,1,1,4,5,2,5,4,5,4,5,5,2002,"1","51",2,3,1.5,2,2,3,2,5,1.66666666666667,2.25,6,6,5.75,5.25,74.625,5,5,5,4,1,4.71428571428571,4
"32","21574",8,"high_sss","I believe I would make a lot of friends at Wake and I wouldn't be able to wait to see them again. Can see myself saying hi to so many people, in hopes to put a smile on their face. I'd also be sure to remember each and every name! I'd want to catch up with everybody that I can asking them how their life has been after Wake.",1,4,1,1,3,1,4,1,1,3,5,4,3,3,4,1,1,1,2,2,3,3,5,5,1,1,5,5,1,1,5,7,6,7,1,7,6,7,1,100,100,100,100,100,100,100,100,50,80,100,100,100,100,80,100,1,5,1,5,1,1,5,5,3,4,4,3,3,4,4,2001,"2","51",4,3.6,1.2,1,1,1,1,1,1.33333333333333,1,7,7,6.75,6.75,94.375,5,5,5,3,3,5,3.57142857142857
"33","21765",6,"high_sss","I would feel really good about where I am",1,2,3,4,5,5,4,2,2,4,3,4,2,4,3,2,4,3,NA,1,5,5,2,3,1,4,3,2,4,2,4,2,2,4,2,3,1,1,3,58,31,44,65,19,74,62,46,68,29,68,47,68,44,56,67,1,4,2,3,4,3,4,2,4,2,4,3,4,2,3,2001,"2","51",4,3.6,2.88888888888889,4,3,3,4,2,3.33333333333333,3,6,5,3.5,2.5,52.875,4,2,3,2,3,3.14285714285714,2.85714285714286
"34","21358",8,"high_sss","I feel on top of the world right now. I'm feeling so blessed to have been able to go back and talk with the people I spent undergrad with as a successful business woman. I feel so proud of my accomplishments and am excited to see where I can go in the next ten years.",1,2,1,1,2,1,4,1,1,4,4,3,3,3,3,1,2,2,1,1,2,2,4,4,2,2,4,4,2,2,4,5,5,5,2,6,5,6,2,82,74,68,69,88,84,95,79,77,72,55,62,90,93,67,94,1,4,2,4,1,1,4,3,1,3,3,2,1,2,3,2001,"1","31,51",5,3,1.2,2,2,2,2,2,2,2,6,6,5.25,5.75,78.0625,4,5,5,5,4,4.14285714285714,3
"35","21821",8,"high_sss","i think i would feel very good about myself going into a reunion. would probably confidently shake hands and hug the people i went to college w and be proud to talk about my career",1,3,2,1,1,1,3,1,1,2,3,3,3,3,3,1,2,2,4,2,3,5,2,5,1,1,3,3,3,2,3,6,5,4,4,4,5,4,3,51,70,59,66,75,10,58,31,38,60,77,71,100,13,52,64,1,3,2,4,2,3,2,4,2,4,3,2,4,3,3,2002,"1","51",5,2.7,1.7,4,1,3,3,3,2.5,2.75,4,5,4.75,4.5,55.9375,4,4,3,4,4,3.42857142857143,3.57142857142857
"36","21646",5,"high_sss","I would imagine that people were very interested in my life's story, what i had done in the five years since they'd last seen me. They'd be curious about what I'd been involved in and what I'm doing now. I think I would act and feel very proud and dignified. I would feel as though the effort I put into school, relationships and extracurricular activities paid off and allowed me to become the person that people admire, listen to, and want to be friends with.",1,4,1,2,3,1,3,1,1,2,2,2,2,2,2,2,2,2,4,2,1,4,5,5,2,1,4,4,2,2,4,4,4,3,5,4,4,3,3,40,57,21,41,79,35,54,32,50,16,34,32,51,50,15,57,2,2,1,3,1,1,2,3,1,2,1,4,2,1,1,1999,"2","51",4,2.3,1.8,1,1,2,2,2,1.83333333333333,2,3,5,3.5,4,41.5,5,5,5,5,2,3.57142857142857,2
"37",NA,8,"high_sss","I would speak to my peers as peers regardless of placement on a ladder. If position is in mind, the beholder is shallow.",1,5,3,1,5,2,5,1,1,2,4,5,5,5,5,1,5,4,5,5,5,3,3,2,3,3,1,3,1,1,5,7,7,7,4,5,5,4,5,100,100,10,35,100,100,100,14,11,31,11,10,100,100,30,100,1,5,2,5,2,2,5,1,1,5,5,1,3,5,5,2001,"2","51",4,4.6,2.8,3,4,5,3,1,3.5,1.5,4,3,6.25,4.25,59.5,4,4,4,5,5,4,4.71428571428571
"38","22272",8,"high_sss","Ideally, I would imagine myself as a happy yet mature and professional woman with a job that I love. I would also have a family and kids, and I would have close relationships with my siblings and parents.",1,2,1,2,3,1,4,1,3,3,2,4,4,2,4,3,2,2,3,3,1,5,2,4,2,3,1,4,2,2,4,1,1,2,5,6,5,3,5,50,40,100,15,100,100,100,20,15,10,100,24,100,50,25,100,2,1,4,3,2,4,4,3,4,1,4,4,3,2,2,2003,"1","52",5,2.9,2.1,4,2,5,2,2,3.5,2,3,3,1.75,4.25,59.3125,2,4,2,2,2,2.71428571428571,2.28571428571429
"39","22073",4,"high_sss","5",1,1,1,3,2,1,2,3,4,3,3,3,3,3,2,4,4,1,2,2,4,4,4,2,4,4,2,3,3,3,3,5,5,5,5,5,5,5,5,26,16,14,22,5,1,76,24,0,0,11,35,4,58,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,"1","13",5,2.6,2.5,2,4,4,3,3,3.66666666666667,3,3,3,4.5,4.5,18.25,3,3,3,3,3,3,3
"40","22189",8,"high_sss","Today, I went back to Wake Forest to visit all of my friends and professors at the reunion. It felt good to have people remember my name and ask about how my current research was coming along. It was a lot of pressure to meet so many people and I felt guilty that I didn't remember all of their names. There is also a sort of anxiety feeling that you've peaked in life and wondering if you've deserved all you've come to have.",1,4,1,1,4,1,4,1,1,4,5,4,4,2,4,1,1,1,4,3,5,3,4,3,3,2,3,3,3,3,3,7,6,7,2,7,6,7,1,100,60,100,90,100,100,100,90,40,100,100,50,100,100,50,40,2,5,1,5,1,1,5,5,1,5,5,1,5,4,5,2001,"1","51",5,4,1.5,2,3,3,3,3,2.66666666666667,3,6,7,6.5,6.75,82.5,5,5,5,5,5,5,4.85714285714286
"41","22131",7,"high_sss","probably I'll still listen to others' speakings, but have no idea what they're talking about their lives and disagree with them, probably even look down on them but without showing it.",2,4,1,1,3,1,4,3,1,4,4,5,5,3,3,2,2,3,3,4,3,4,4,3,2,3,4,4,1,1,4,5,4,5,2,7,5,5,2,30,20,50,20,50,20,20,40,40,20,0,60,80,45,10,25,3,4,1,4,2,2,5,4,1,3,5,2,4,1,2,2003,"2","11",5,3.8,2.1,2,3,2,2,2,2.66666666666667,1.5,6,6,5,5.75,33.125,5,4,4,5,4,4.28571428571429,3.42857142857143
"42","22182",8,"high_sss","At that time, I would think in a macro perspectives and act more calmly toward things and feel more relaxed.",1,5,2,1,3,1,5,1,4,5,5,5,4,5,3,2,1,2,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,2,7,6,7,2,70,90,90,20,70,60,60,45,40,20,100,60,40,60,20,50,2,5,1,5,1,1,5,4,2,5,5,2,5,4,3,2003,"1","11",5,4.4,1.8,NA,NA,NA,NA,NA,NA,NA,6,6,5.25,6.5,55.9375,5,5,5,4,4,4.85714285714286,4.28571428571429
